analysis_id,outcome,measure,agent,k,estimate,ci_low,ci_high,p_value,tau2,i2,pi_low,pi_high,active_events,active_n,control_events,control_n,rd_per_1000,rd_ci_low_per_1000,rd_ci_high_per_1000,active_risk,control_risk,nn_type,number_needed,nn_ci_low,nn_ci_high
5.2,SAE at 24 months,RD,Aducanumab,1,0.019904240766073875,-0.013923800493535997,0.053732282025683746,0.24881498597289256,0,NA,NA,NA,59,680,23,344,19.904240766073876,-13.923800493535996,53.732282025683745,0.08676470588235294,0.06686046511627906,Indeterminate (CI crosses 0),NA,NA,NA
5.2,SAE at 24 months,RD,Crenezumab,1,0.010286028602860292,-0.040323641043587446,0.06089569824930803,0.6903739024681401,0,NA,NA,NA,67,404,63,405,10.286028602860291,-40.32364104358744,60.89569824930803,0.16584158415841585,0.15555555555555556,Indeterminate (CI crosses 0),NA,NA,NA
5.2,SAE at 24 months,RD,Gantenerumab,2,-0.010801603017543666,-0.05756935544078949,0.035966149405702155,0.650780311557827,0,0,NA,NA,70,452,78,461,-10.801603017543666,-57.569355440789494,35.966149405702154,0.15486725663716813,0.16919739696312364,Indeterminate (CI crosses 0),NA,NA,NA
5.3,SAE above 24 months,RD,Gantenerumab,2,-0.026968903417951468,-0.061336482991685724,0.007398676155782789,0.12404333582376337,1.0098005986647004e-4,16.24720033569558,NA,NA,137,1004,158,955,-26.968903417951466,-61.33648299168573,7.398676155782789,0.13645418326693226,0.16544502617801046,Indeterminate (CI crosses 0),NA,NA,NA
6.1,Mortality at 18 months,RD,Bapineuzumab,2,0.009869489505337592,-0.0016705603943838396,0.021409539405059023,0.09369202801155713,0,0,NA,NA,22,1002,12,972,9.869489505337592,-1.6705603943838396,21.40953940505902,0.021956087824351298,0.012345679012345678,Indeterminate (CI crosses 0),NA,NA,NA
6.1,Mortality at 18 months,RD,Crenezumab,1,-0.01507537688442211,-0.027046699688398686,-0.0031040540804455324,0.013580783662686087,0,NA,NA,NA,0,404,6,398,-15.07537688442211,-27.046699688398686,-3.1040540804455325,0,0.01507537688442211,NNTB,66.33333333333334,36.97308771572364,322.15933552822236
6.1,Mortality at 18 months,RD,Donanemab,1,0.0073156794836369676,-0.004199623150161641,0.018830982117435578,0.21307057833513438,0,NA,NA,NA,16,853,10,874,7.315679483636967,-4.199623150161641,18.83098211743558,0.018757327080890972,0.011441647597254004,Indeterminate (CI crosses 0),NA,NA,NA
6.1,Mortality at 18 months,RD,Lecanemab,1,-0.0011222759358713655,-0.00896769416176784,0.0067231422900251095,0.7791936013647353,0,NA,NA,NA,6,898,7,897,-1.1222759358713654,-8.96769416176784,6.72314229002511,0.0066815144766146995,0.007803790412486065,Indeterminate (CI crosses 0),NA,NA,NA
6.1,Mortality at 18 months,RD,Solanezumab,2,1.2312977847750688e-4,-0.016142372393156922,0.016388631950111938,0.9881622860579271,1.0264651764576934e-4,73.79501834942313,NA,NA,23,1708,25,1727,0.12312977847750689,-16.142372393156922,16.38863195011194,0.013466042154566744,0.01447596988998263,Indeterminate (CI crosses 0),NA,NA,NA
6.2,Mortality at 24 months,RD,Aducanumab,1,0.004411764705882353,-5.69500720074766e-4,0.009393030131839472,0.08258431265065903,0,NA,NA,NA,3,680,0,344,4.411764705882353,-0.569500720074766,9.393030131839472,0.004411764705882353,0,Indeterminate (CI crosses 0),NA,NA,NA
6.2,Mortality at 24 months,RD,Crenezumab,1,0.007456301185674124,-0.009870382949042234,0.024782985320390482,0.3989803659569667,0,NA,NA,NA,8,404,5,405,7.456301185674124,-9.870382949042234,24.78298532039048,0.019801980198019802,0.012345679012345678,Indeterminate (CI crosses 0),NA,NA,NA
6.2,Mortality at 24 months,RD,Gantenerumab,2,-0.008585676810036882,-0.024458723079686478,0.007287369459612714,0.28908188522140377,0,0,NA,NA,5,452,9,461,-8.585676810036881,-24.45872307968648,7.287369459612714,0.011061946902654867,0.019522776572668113,Indeterminate (CI crosses 0),NA,NA,NA
6.3,Mortality above 24 months,RD,Gantenerumab,2,-0.0044262687968910685,-0.02437310404012289,0.015520566446340756,0.663618683060728,1.5761416470692796e-4,76.05197626927743,NA,NA,10,1004,14,955,-4.426268796891068,-24.37310404012289,15.520566446340755,0.0099601593625498,0.014659685863874346,Indeterminate (CI crosses 0),NA,NA,NA
8.1,Infusion reaction at 18 months,RD,Crenezumab,1,-0.018483506642121506,-0.05347685611252929,0.016509842828286277,0.3005502752866915,0,NA,NA,NA,24,404,31,398,-18.483506642121505,-53.47685611252929,16.509842828286278,0.0594059405940594,0.07788944723618091,Indeterminate (CI crosses 0),NA,NA,NA
8.1,Infusion reaction at 18 months,RD,Donanemab,1,0.08217597871021914,0.06276417439608505,0.10158778302435324,1.0667076120579007e-16,0,NA,NA,NA,74,853,4,874,82.17597871021914,62.764174396085046,101.58778302435324,0.08675263774912075,0.004576659038901602,NNH,12.16900626795508,9.843703349252872,15.932656003555678
8.1,Infusion reaction at 18 months,RD,Lecanemab,1,0.19034122650855484,0.15683077289165787,0.2238516801254518,8.695731027906466e-29,0,NA,NA,NA,237,898,66,897,190.34122650855483,156.83077289165786,223.85168012545182,0.2639198218262806,0.07357859531772576,NNH,5.253722582033773,4.467243665267896,6.376299635345302
8.2,Infusion reaction at 24 months,RD,Crenezumab,1,0.015102065762131772,-0.02779914846070776,0.058003279984971304,0.4902283835219708,0,NA,NA,NA,47,404,41,405,15.102065762131772,-27.79914846070776,58.00327998497131,0.11633663366336634,0.10123456790123457,Indeterminate (CI crosses 0),NA,NA,NA
9.1,Study discontinuation at 18 months,RD,Aducanumab,2,0.028286704222888412,0.005256428041516183,0.05131698040426064,0.016070699015716488,0,0,NA,NA,294,2199,116,1097,28.28670422288841,5.256428041516183,51.31698040426064,0.13369713506139155,0.105742935278031,NNH,35.352298101623376,19.486727241593,190.2432587494447
9.1,Study discontinuation at 18 months,RD,Bapineuzumab,4,0.028799013569461865,-0.01988535434055415,0.07748338147947788,0.15629878133720146,3.933109198598851e-6,0.43711434622999534,-0.0202927583386779,0.07789078547760163,830,2266,638,1759,28.799013569461867,-19.885354340554148,77.48338147947788,0.3662842012356575,0.36270608300170554,Indeterminate (CI crosses 0),NA,NA,NA
9.1,Study discontinuation at 18 months,RD,Crenezumab,1,0.025401341190814886,-0.015101553069833941,0.0659042354514637,0.21900093553417982,0,NA,NA,NA,44,407,33,399,25.401341190814886,-15.10155306983394,65.9042354514637,0.10810810810810811,0.08270676691729323,Indeterminate (CI crosses 0),NA,NA,NA
9.1,Study discontinuation at 18 months,RD,Donanemab,1,0.07111606668790485,0.031460880744956066,0.11077125263085363,4.3988133148643464e-4,0,NA,NA,NA,231,860,173,876,71.11606668790485,31.460880744956064,110.77125263085364,0.2686046511627907,0.19748858447488585,NNH,14.061520083619532,9.027612997503157,31.785505565044424
9.1,Study discontinuation at 18 months,RD,Lecanemab,1,0.03212018284159274,-0.002774466826937369,0.06701483251012284,0.07121130144566369,0,NA,NA,NA,169,898,140,897,32.12018284159274,-2.774466826937369,67.01483251012284,0.18819599109131402,0.15607580824972128,Indeterminate (CI crosses 0),NA,NA,NA
9.1,Study discontinuation at 18 months,RD,Solanezumab,2,-0.009648710015905735,-0.03444555509985428,0.01514813506804281,0.4456767224618243,0,0,NA,NA,289,1713,306,1735,-9.648710015905735,-34.44555509985428,15.148135068042809,0.1687098657326328,0.17636887608069166,Indeterminate (CI crosses 0),NA,NA,NA
9.2,Study discontinuation at 24 months,RD,Crenezumab,1,0.004762884601418604,-0.051501601198683744,0.06102737040152095,0.8682244006222717,0,NA,NA,NA,319,404,321,409,4.762884601418604,-51.501601198683744,61.027370401520955,0.7896039603960396,0.784841075794621,Indeterminate (CI crosses 0),NA,NA,NA
9.2,Study discontinuation at 24 months,RD,Gantenerumab,1,0.013504916136495071,-0.06133996031502574,0.08834979258801588,0.7235986076073506,0,NA,NA,NA,69,260,67,266,13.504916136495071,-61.33996031502574,88.34979258801589,0.2653846153846154,0.2518796992481203,Indeterminate (CI crosses 0),NA,NA,NA
9.3,Study discontinuation above 24 months,RD,Gantenerumab,2,0.06631046012108041,0.02823633275724792,0.1043845874849129,6.413366474568215e-4,6.571540746744857e-5,8.70254631149018,NA,NA,250,997,178,962,66.31046012108041,28.23633275724792,104.3845874849129,0.25075225677031093,0.18503118503118504,NNH,15.08057700359849,9.579958345330759,35.41536390710342
