analysis_id,outcome,measure,scenario,k,estimate,ci_low,ci_high,p_value,tau2,i2,pi_low,pi_high
5.1,SAE at 18 months,RR,Exclude futility-terminated trials,6,1.0834360969796017,0.9197977450241073,1.2761868384528685,0.2639087413676368,0.013102820201669902,50.76790651647276,0.7736772850744144,1.517213699928505
5.1,SAE at 18 months,RR,Exclude all early-terminated trials,6,1.0834360969796017,0.9197977450241073,1.2761868384528685,0.2639087413676368,0.013102820201669902,50.76790651647276,0.7736772850744144,1.517213699928505
5.2,SAE at 24 months,RR,Cochrane class pool,4,1.0310011018008096,0.7922103769561634,1.341768932639596,0.7367734785731431,0,0,0.7922103769561634,1.341768932639596
5.2,SAE at 24 months,RR,Exclude futility-terminated trials,1,1.29769820971867,0.8159302297730878,2.0639272600248817,0.27102168878988325,0,NA,NA,NA
5.3,SAE above 24 months,RR,Cochrane class pool,2,0.8237606397871372,0.6672245404164605,1.017021333236581,0.0713880407286846,0,0,NA,NA
5.3,SAE above 24 months,RR,Exclude futility-terminated trials,2,0.8237606397871372,0.6672245404164605,1.017021333236581,0.0713880407286846,0,0,NA,NA
5.3,SAE above 24 months,RR,Exclude all early-terminated trials,2,0.8237606397871372,0.6672245404164605,1.017021333236581,0.0713880407286846,0,0,NA,NA
6.1,Mortality at 18 months,RR,Cochrane class pool,7,1.1726999325261924,0.6151622791578121,2.2355485346560715,0.5678400901058178,0.11750954385513673,31.573527502497875,0.4070127416200114,3.3788257494672034
6.1,Mortality at 18 months,RR,Exclude futility-terminated trials,6,1.2537034943677074,0.7155400652075709,2.196623960300316,0.3475296231744265,0.09677793870650148,30.824015654990806,0.47206629694182095,3.3295587123507584
6.1,Mortality at 18 months,RR,Exclude all early-terminated trials,6,1.2537034943677074,0.7155400652075709,2.196623960300316,0.3475296231744265,0.09677793870650148,30.824015654990806,0.47206629694182095,3.3295587123507584
6.2,Mortality at 24 months,RR,Cochrane class pool,4,1.0546139842264814,0.2914924045683833,3.815573367590551,0.9036308770545904,0.058361142743980014,7.878428238569578,0.23573568050948618,4.718041211760039
6.2,Mortality at 24 months,RR,Exclude futility-terminated trials,1,3.5462555066079293,0.18369789583957818,68.45983760820818,0.4019689066760839,0,NA,NA,NA
6.3,Mortality above 24 months,RR,Cochrane class pool,2,0.6972000337432346,0.12513570667984988,3.8844858909470674,0.6806620419187537,1.12734264450507,73.3779120362122,NA,NA
6.3,Mortality above 24 months,RR,Exclude futility-terminated trials,2,0.6972000337432346,0.12513570667984988,3.8844858909470674,0.6806620419187537,1.12734264450507,73.3779120362122,NA,NA
6.3,Mortality above 24 months,RR,Exclude all early-terminated trials,2,0.6972000337432346,0.12513570667984988,3.8844858909470674,0.6806620419187537,1.12734264450507,73.3779120362122,NA,NA
7.1,NPI-Q score at 12 months,SMD,Cochrane class pool,1,0.08604846600191733,-0.1834920094196857,0.3555889414235204,0.5315107139042438,0,NA,NA,NA
7.2,NPI-Q score at 18 months,SMD,Cochrane class pool,2,0.11919939977015583,-0.17479245584770714,0.41319125538801876,0.4268054428964087,0,0,NA,NA
7.2,NPI-Q score at 18 months,SMD,Exclude futility-terminated trials,1,0.5168562568898105,-0.9579855762756353,1.9916980900552563,0.4921667733628572,0,NA,NA,NA
