analysis_id,outcome,measure,scenario,ci_method,p_method,k,estimate,ci_low,ci_high,p_value,tau2,i2,cochrane_estimate,cochrane_ci_low,cochrane_ci_high,cochrane_p_value,cochrane_ci_method,abs_estimate_difference,abs_ci_low_difference,abs_ci_high_difference,abs_p_value_difference
6.1,Mortality at 18 months,RR,Cochrane class pool,Wald,Wald/z,7,1.1726999325261924,0.7412380028844401,1.8553084520699292,0.4960978671176031,0.11750954385513673,31.573527502497875,1.1726999292136089,0.7412379894495478,1.8553084752157156,0.49609789367488166,Wald,3.312583540804326e-9,1.3434892309760471e-8,2.3145786398615087e-8,2.6557278542949092e-8
6.2,Mortality at 24 months,RR,Cochrane class pool,Wald,Wald/z,4,1.0546139842264817,0.46941580486159656,2.369350678454425,0.8975504230278012,0.058361142743979653,7.878428238569533,1.0546140034363614,0.46941585681261566,2.3693505025503403,0.8975503765147392,Wald,1.9209879686954423e-8,5.195101909771793e-8,1.7590408463163953e-7,4.6513061957575985e-8
6.3,Mortality above 24 months,RR,Cochrane class pool,Wald,Wald/z,2,0.6972000337432346,0.12513570667984988,3.8844858909470674,0.6806620419187537,1.12734264450507,73.3779120362122,0.6972000337432345,0.12513570667984972,3.88448589094707,0.680662042974532,Wald,1.1102230246251565e-16,1.6653345369377348e-16,2.6645352591003757e-15,1.0557783536313536e-9
7.1,NPI-Q score at 12 months,SMD,Cochrane class pool,HKSJ,Wald/z,1,0.08604846600191733,-0.1834920094196857,0.3555889414235204,0.5315107139042438,0,NA,0.08604846600191733,-0.1834920094196857,0.3555889414235204,0.531510717475807,HKSJ,0,0,0,3.5715632673571918e-9
7.2,NPI-Q score at 18 months,SMD,Cochrane class pool,Wald,Wald/z,2,0.11919939977015583,-0.17479245584770714,0.41319125538801876,0.4268054428964087,0,0,0.11919939977015584,-0.17479245584770717,0.4131912553880188,0.4268054499757068,Wald,1.3877787807814457e-17,2.7755575615628914e-17,5.551115123125783e-17,7.079298092182995e-9
8.1,Infusion reaction at 18 months,RR,Cochrane class pool,Wald,Wald/z,3,3.5804140006754777,0.6037253491580196,21.23376868987098,0.16021662103970646,2.363272780349808,97.19728094012109,NA,NA,NA,NA,Wald,NA,NA,NA,NA
8.2,Infusion reaction at 24 months,RR,Cochrane class pool,Wald,Wald/z,1,1.1491789422844725,0.7737788248778547,1.7067050673020485,0.49079563226526185,0,NA,1.1491789422844725,0.7737788248778544,1.7067050673020483,0.4907956369796116,Wald,0,2.220446049250313e-16,2.220446049250313e-16,4.714349743917268e-9
9.1,Study discontinuation at 18 months,RR,Cochrane class pool,Wald,Wald/z,11,1.1206943650781804,1.0286842315596554,1.2209342978007443,0.009134368760727339,0.009762441228302521,49.554731620791856,1.120695107889767,1.0286829655362482,1.2209374189387208,0.00913550143881649,Wald,7.428115864627216e-7,1.2660234072203735e-6,3.1211379765139213e-6,1.1326780891517119e-6
9.2,Study discontinuation at 24 months,RR,Cochrane class pool,HKSJ,Wald/z,2,1.0087417778211831,0.8799874387122009,1.1563346583798606,0.8058020547192906,0,0,1.0087417778211831,0.8799874387081287,1.1563346583852117,0.805802054942973,HKSJ,0,4.072187032022612e-12,5.3510529340883295e-12,2.2368240593095834e-10
9.3,Study discontinuation above 24 months,RR,Cochrane class pool,Wald,Wald/z,2,1.3550026889949676,1.109422105329669,1.654944748588734,0.0029037060940422773,0.005604882658618307,26.85324966478464,1.3550026889949676,1.109422105329669,1.654944748588734,0.0029037060940241,Wald,0,0,0,1.8177299943022973e-14
